Poblacion;Codigo postal;valor
Madrid;28000;0
Madrid;28001;0
Madrid;28002;0
Madrid;28003;0
Madrid;28004;0
Madrid;28005;0
Madrid;28006;0
Madrid;28007;0
Madrid;28008;0
Madrid;28009;0
Madrid;28010;0
Madrid;28011;12
Madrid;28012;0
Madrid;28013;0
Madrid;28014;0
Madrid;28015;0
Madrid;28016;0
Madrid;28017;14
Madrid;28018;12
Madrid;28019;8
Madrid;28020;0
Madrid;28021;24
Madrid;28022;26
Madrid;28023;22
Madrid;28024;22
Madrid;28025;12
Madrid;28026;10
Madrid;28027;16
Madrid;28028;0
Madrid;28029;0
Madrid;28030;16
Madrid;28031;28
Madrid;28032;22
Madrid;28033;20
Madrid;28034;22
Madrid;28035;20
Madrid;28036;0
Madrid;28037;16
Madrid;28038;12
Madrid;28039;0
Madrid;28040;0
Madrid;28041;16
Madrid;28042;30
Madrid;28043;18
Madrid;28044;18
Madrid;28045;0
Madrid;28046;0
Madrid;28047;12
Madrid;28048;32
Madrid;28049;34
Madrid;28050;26
Madrid;28051;30
Madrid;28052;34
Madrid;28053;18
Madrid;28054;18
Madrid;28055;30
Alcobendas;28100;46
Alcobendas;28108;34
Alcobendas;28109;40
Algete;28110;70
Algete;28120;66
Algete;28119;78
Valdeolmos-Alalpardo;28130;78
Fuente el Saz de Jarama;28140;70
Valdetorres de Jarama;28150;84
Talamanca de Jarama;28160;100
Valdepi‚lagos;28170;102
Torrelaguna;28180;114
El Atazar;28189;130
Patones;28189;124
Torremocha de Jarama;28189;120
Montejo de la Sierra;28190;182
Puebla de la Sierra;28190;214
La Hiruela;28191;202
Horcajuelo de la Sierra;28191;184
Pr dena del Rinc¢n;28191;178
El Berrueco;28192;130
Cervera de Buitrago;28193;162
Berzosa del Lozoya;28194;166
Robledillo de la Jara;28194;158
Puentes Viejas;28195;176
Puentes Viejas;28196;170
San Lorenzo de El Escorial;28200;102
Navalagamella;28210;78
Valdemorillo;28210;78
El Escorial;28211;98
El Escorial;28212;98
Navalagamella;28212;96
Colmenar del Arroyo;28213;112
Fresnedillas de la Oliva;28214;108
El Escorial;28219;98
Majadahonda;28220;48
Majadahonda;28221;38
Majadahonda;28222;50
Pozuelo de Alarc¢n;28223;28
Pozuelo de Alarc¢n;28224;26
Villanueva del Pardillo;28229;56
Las Rozas de Madrid;28231;44
Las Rozas de Madrid;28232;54
Hoyo de Manzanares;28240;76
Hoyo de Manzanares;28248;76
Galapagar;28250;66
Torrelodones;28250;66
Galapagar;28260;70
Colmenarejo;28270;76
Galapagar;28270;76
Colmenarejo;28279;78
El Escorial;28280;88
Las Rozas de Madrid;28290;56
El Escorial;28292;96
Galapagar;28292;76
Zarzalejo;28293;114
Robledo de Chavela;28294;118
Valdemaqueda;28295;130
Santa Mar¡a de la Alameda;28296;146
Santa Mar¡a de la Alameda;28297;124
Aranjuez;28300;98
Pinto;28320;50
San Mart¡n de la Vega;28330;54
Valdemoro;28340;58
Ciempozuelos;28350;72
Titulcia;28359;80
Villaconejos;28360;98
Chinch¢n;28370;96
Colmenar de Oreja;28380;104
Belmonte de Tajo;28390;112
Valdelaguna;28391;102
Collado Villalba;28400;86
Galapagar;28400;76
Alpedrete;28409;94
Manzanares el Real;28410;102
Moralzarzal;28411;104
El Boalo;28412;98
El Boalo;28413;102
Galapagar;28420;76
Alpedrete;28430;94
Guadarrama;28430;94
Guadarrama;28440;104
